STATE,CLUSTER,HOMEOWNR,GENDER,DATASRCE,RFA_2A,GEOCODE2,DOMAIN_A,DOMAIN_B,MINRDATE_MM,MAXRDATE_MM,LASTDATE_MM,FIRSTDATE_MM,HV3,HV4,ANC6,MHUC2,HPHONE_D,RFA_2F
CA,3,H,F,1,G,B,U,1,12,3,11,3,7,6,0,2,0,2
WA,2,H,M,2,E,A,U,1,11,4,2,10,5,5,0,3,1,2
other,24,H,M,3,F,C,C,1,6,11,11,9,5,7,0,3,1,2
MI,14,H,M,1,G,A,S,1,12,9,2,10,7,6,0,5,0,1
other,25,H,F,3,G,B,C,2,1,3,3,1,3,3,0,2,0,4
other,6,H,F,3,F,A,U,2,3,1,3,1,9,7,0,3,0,2
MI,8,H,F,3,F,A,U,3,8,8,8,11,4,4,0,2,1,1
FL,21,H,M,3,G,A,S,3,12,11,11,12,5,5,1,2,1,1
CA,11,H,F,3,F,A,S,1,1,4,8,1,8,8,0,2,0,2
other,34,U,F,3,E,C,T,1,9,10,12,9,4,4,0,3,1,4
CA,1,H,F,3,F,A,U,1,3,2,3,2,7,7,0,0,0,2
other,51,H,F,2,F,D,R,3,2,2,2,2,1,1,0,3,0,1
MI,21,H,F,3,F,A,S,3,10,4,11,10,4,4,0,3,0,2
other,12,H,M,3,F,A,S,1,1,7,7,11,5,5,0,3,0,1
FL,20,U,M,1,G,A,S,2,6,10,10,6,6,6,1,3,1,1
WI,44,U,F,3,F,B,R,2,2,2,2,2,3,2,0,4,1,1
other,34,H,F,3,E,C,T,1,1,1,2,10,5,5,0,2,1,3
other,22,U,F,3,E,B,C,1,3,2,12,11,3,3,0,0,1,1
FL,12,H,M,2,E,A,S,1,6,9,12,1,5,5,1,3,0,1
other,35,H,M,3,F,B,T,1,10,12,12,9,7,6,0,3,1,1
MI,44,H,F,3,E,C,R,2,1,12,1,1,3,3,1,2,1,4
CA,17,H,M,2,F,A,S,2,1,11,11,1,8,8,0,3,0,1
WA,21,H,F,3,D,A,S,3,5,6,1,1,4,5,0,3,1,4
CA,13,H,M,2,G,A,S,1,1,4,8,1,12,10,0,3,0,2
WI,46,H,M,3,D,D,R,2,5,3,3,9,2,2,0,2,1,3
FL,10,U,F,3,F,A,U,4,2,2,11,4,4,4,1,2,1,2
CA,35,H,F,3,F,A,T,1,6,5,10,2,5,3,0,2,1,1
other,50,H,M,2,E,D,R,3,9,8,3,9,2,1,0,2,1,3
CA,15,H,M,3,F,A,S,1,9,12,12,9,7,7,0,2,0,1
CA,11,H,M,3,F,A,S,1,6,9,9,1,6,6,0,2,1,1
CA,13,H,F,3,D,A,S,1,1,11,2,10,6,7,0,3,0,4
WI,39,H,F,3,E,A,T,2,1,4,9,1,4,4,0,2,1,3
FL,31,H,M,2,F,B,C,3,2,11,11,2,3,3,0,2,0,1
other,40,H,M,3,G,D,T,2,9,12,12,2,3,2,0,2,1,1
other,41,U,M,2,F,C,T,3,9,2,2,9,0,0,0,0,0,2
CA,13,H,F,3,F,A,S,1,2,4,4,2,12,11,0,3,1,1
MI,44,U,F,3,F,B,R,2,3,6,3,3,3,2,0,3,1,1
IL,1,H,M,3,E,A,U,1,2,10,12,2,7,7,0,0,0,1
CA,29,H,F,3,G,A,C,2,6,11,11,6,7,6,0,3,0,2
FL,16,H,M,3,F,A,S,2,9,9,9,9,5,5,0,2,1,1
other,35,H,M,3,F,B,T,1,1,12,8,1,4,2,0,3,1,1
FL,27,H,F,3,F,B,C,2,7,3,12,11,4,4,0,2,1,2
TX,11,U,F,2,E,A,S,1,11,12,12,2,12,8,0,4,0,3
CA,3,H,F,3,G,A,U,1,12,12,12,2,7,7,0,2,0,1
WA,27,H,M,2,F,C,C,2,3,9,9,3,4,4,1,2,0,2
IN,51,H,F,3,E,D,R,3,6,10,12,6,2,1,1,2,1,3
WA,23,H,F,3,E,D,C,1,3,9,3,12,3,2,0,2,1,2
CA,24,H,M,3,F,A,C,1,10,3,9,10,7,6,0,3,1,1
IL,14,H,M,3,E,A,S,1,12,7,3,9,5,5,0,4,1,2
MI,10,H,F,2,F,A,U,4,12,3,12,12,3,2,0,2,0,2
other,17,U,F,2,E,B,S,2,3,11,5,1,7,6,0,3,0,2
TX,30,H,F,3,G,C,C,3,12,9,12,9,3,2,0,2,0,3
CA,13,H,M,3,F,A,S,1,6,12,12,10,12,11,1,4,0,1
other,51,H,F,2,E,D,R,3,12,7,4,1,2,1,0,2,1,1
MO,21,H,other,3,F,B,S,3,7,1,3,10,3,3,0,2,1,3
other,43,U,M,3,D,B,R,2,6,6,2,6,2,1,4,2,1,4
CA,2,H,F,3,E,B,U,1,10,9,2,1,5,5,0,2,0,3
other,25,U,F,2,E,B,C,2,2,11,11,2,3,3,0,2,0,3
other,37,U,M,3,G,C,T,2,9,9,9,9,4,4,0,2,1,1
MO,51,H,F,2,F,D,R,3,1,1,1,1,1,1,0,2,1,1
other,45,H,F,3,E,D,R,2,1,2,3,4,2,2,1,2,0,3
IL,40,H,M,3,E,B,T,2,9,1,9,9,2,2,0,3,1,3
GA,36,U,F,3,E,D,T,2,10,9,8,3,2,2,0,2,1,3
CA,34,H,F,3,F,A,T,1,2,2,2,2,10,10,0,4,0,1
FL,18,H,F,2,F,B,S,2,1,9,9,1,5,4,0,2,0,3
CA,13,H,F,2,G,A,S,1,7,10,7,10,6,7,0,2,0,1
other,39,H,M,3,F,B,T,2,3,8,3,3,4,3,0,2,1,2
IL,20,H,M,3,F,A,S,2,10,3,2,10,4,4,0,3,0,2
FL,15,H,F,1,E,B,S,1,10,12,12,7,4,4,0,2,1,2
TX,35,H,F,3,F,A,T,1,9,12,1,10,6,7,0,3,0,3
IL,10,H,M,3,F,A,U,4,11,12,4,11,4,4,0,3,0,1
other,51,U,F,2,F,D,R,3,10,10,10,10,1,1,0,2,0,1
MI,24,H,F,2,G,A,C,1,12,12,1,12,6,7,0,4,1,1
CA,7,H,M,2,E,B,U,2,10,12,3,10,5,5,0,2,0,2
TX,53,H,M,3,F,C,R,3,10,9,9,10,2,1,0,2,1,2
CA,25,H,F,3,F,A,C,2,9,8,12,9,6,6,0,4,1,1
other,35,U,F,2,D,B,T,1,4,5,1,9,4,4,0,3,0,4
MI,16,H,F,3,F,A,S,2,1,4,9,1,5,3,1,4,1,4
other,21,H,M,3,F,B,S,3,2,1,12,2,2,2,0,2,0,1
CA,14,H,M,3,E,A,S,1,4,12,12,9,8,5,0,3,0,3
TX,18,H,M,3,F,B,S,2,7,10,10,2,4,4,0,3,0,2
TX,45,H,F,2,D,C,R,2,12,9,1,6,2,1,0,2,0,4
CA,40,H,F,3,F,A,R,2,1,2,2,1,6,6,0,2,0,1
MI,24,H,M,2,F,C,C,1,1,1,1,1,4,4,1,3,1,1
TX,22,H,F,3,F,A,C,1,1,8,12,1,4,5,1,4,1,2
TX,13,H,M,3,F,A,S,1,12,11,12,12,11,7,0,4,1,2
other,40,H,F,2,F,B,T,2,2,12,12,2,3,2,0,2,0,1
WA,7,H,M,3,E,A,U,2,2,11,11,2,4,4,0,2,1,1
FL,30,U,F,2,F,C,C,3,3,1,10,10,3,3,0,2,0,1
other,43,U,M,2,F,D,R,2,11,10,10,2,2,1,1,4,0,1
CA,13,H,M,2,G,A,S,1,5,1,1,1,12,11,1,4,0,2
IL,21,H,M,3,F,B,S,3,2,6,9,11,3,3,0,2,1,1
FL,21,H,F,3,F,B,S,3,11,11,11,11,4,3,0,2,0,1
IN,49,U,F,3,E,C,R,2,9,9,11,9,2,0,0,2,1,1
TX,14,H,M,3,F,A,S,1,3,2,2,3,9,8,0,5,1,2
WI,8,U,M,1,F,D,U,3,5,12,11,1,2,2,0,2,1,1
CA,9,H,F,1,F,A,U,3,1,1,1,1,4,4,0,2,0,1
TX,15,U,F,3,G,B,S,1,10,4,4,10,4,3,0,3,1,1
other,14,H,M,2,F,B,S,1,1,1,1,1,7,6,0,4,0,1
WA,27,H,F,2,F,A,C,2,10,12,12,10,6,5,0,2,0,1
CA,46,H,M,3,D,C,R,2,10,10,11,10,3,2,0,4,0,4
other,34,H,M,3,D,D,T,1,4,9,9,1,2,2,0,2,1,3
TX,45,U,M,2,E,D,R,2,1,7,8,1,2,1,0,2,0,3
NC,41,H,M,3,F,C,T,3,9,7,9,7,2,2,0,2,0,1
TX,53,U,other,2,F,D,R,3,11,1,1,9,4,3,0,2,0,2
CA,18,H,M,3,F,A,S,2,7,3,11,7,9,9,0,3,0,1
MI,14,H,F,1,F,A,S,1,2,2,2,2,11,9,0,4,1,1
IL,41,H,M,3,F,D,T,3,6,6,6,6,2,2,0,2,1,1
other,22,U,F,3,F,B,C,1,4,1,1,4,3,4,0,3,1,1
MO,51,H,F,2,F,D,R,3,1,1,1,1,1,1,0,2,0,1
MO,43,H,F,3,F,B,R,2,10,10,10,10,2,1,0,2,0,1
other,25,H,F,3,D,B,C,2,3,1,2,1,3,3,0,2,1,4
other,20,H,F,3,F,B,S,2,2,2,2,2,3,3,0,3,0,1
CA,25,U,other,2,G,B,C,2,12,4,12,9,7,6,0,2,1,3
FL,8,U,F,1,E,A,U,3,4,3,3,10,4,5,0,3,1,3
IL,13,H,M,3,G,A,S,1,12,12,12,9,6,6,2,3,1,2
other,50,H,M,2,F,D,R,3,1,4,11,1,3,3,0,2,0,3
WI,8,H,F,3,F,B,U,3,10,8,1,10,4,3,1,3,0,3
other,39,U,M,3,D,C,T,2,12,12,12,10,3,2,0,2,1,4
other,51,U,F,3,F,D,R,3,12,12,12,12,1,1,0,2,0,1
other,49,U,F,2,F,C,R,2,5,1,11,11,2,1,0,2,0,1
GA,18,H,M,3,F,A,S,2,2,2,2,2,6,5,0,2,1,1
other,43,U,M,2,G,D,R,2,6,9,9,9,2,1,0,2,0,1
other,51,H,M,2,D,D,R,3,2,10,2,10,1,1,0,2,0,4
CA,11,U,F,2,F,A,S,1,6,1,3,5,8,8,0,2,1,3
CA,40,U,M,2,E,A,R,2,9,10,12,9,5,5,0,2,1,3
WI,50,H,F,3,F,D,R,3,8,10,5,8,1,1,0,2,0,1
CA,40,H,M,2,E,B,T,2,5,3,3,3,4,5,0,3,0,2
MI,10,H,F,3,G,A,U,4,7,12,4,1,3,3,0,2,0,1
IN,45,H,F,3,F,D,R,2,6,6,6,6,2,1,0,2,1,1
NC,39,U,F,2,F,B,T,2,2,2,2,2,4,3,0,3,0,1
other,30,H,F,3,D,B,C,3,9,8,2,11,3,3,0,2,0,4
CA,13,H,M,3,F,A,S,1,3,11,11,10,12,10,2,2,1,1
NC,36,H,F,3,F,C,T,2,2,3,3,2,3,3,0,2,0,1
other,2,H,M,3,E,A,U,1,1,11,3,9,4,4,0,2,1,2
other,49,H,M,3,F,D,R,2,12,1,12,8,2,1,0,2,0,2
CA,10,H,M,3,F,B,U,4,1,11,2,1,6,6,0,3,0,2
WA,3,H,M,2,G,A,U,1,2,4,9,2,4,4,0,2,0,1
CA,27,H,M,3,E,A,C,2,10,9,12,10,5,6,0,2,0,3
other,39,H,F,3,E,C,T,2,1,3,1,9,4,4,0,2,1,3
CA,46,U,M,2,G,B,R,2,11,5,5,11,3,2,0,3,1,1
other,37,H,M,3,F,D,T,2,4,4,4,4,2,2,0,2,1,1
WI,22,H,F,2,E,B,C,1,2,7,1,2,3,3,0,3,0,3
NC,35,H,M,3,F,B,T,1,11,11,11,11,6,5,0,3,0,1
other,43,U,F,2,G,D,R,2,1,6,12,1,1,1,0,2,1,1
CA,12,H,F,3,F,A,S,1,9,1,1,9,9,9,0,2,0,4
CA,2,H,M,3,E,A,U,1,3,11,2,1,8,7,0,2,0,2
WI,53,U,M,2,F,C,R,3,8,3,3,8,2,1,0,2,1,1
other,53,U,M,2,E,D,R,3,12,4,4,6,1,1,0,3,0,1
TX,49,H,F,3,F,D,R,2,9,9,9,9,2,1,0,2,0,1
MO,36,H,M,3,F,D,T,2,2,9,11,1,2,2,0,2,0,2
FL,3,H,F,2,G,A,U,1,2,12,12,2,6,6,0,3,0,1
MO,26,U,F,1,E,A,C,2,7,9,9,1,3,3,0,2,0,1
MI,53,H,F,2,G,D,R,3,6,12,2,6,2,2,0,2,1,2
TX,1,H,M,3,F,A,U,1,11,12,12,9,5,5,0,2,0,2
FL,30,H,M,2,F,B,C,3,7,3,3,10,3,2,0,2,1,2
GA,49,H,F,3,F,D,R,2,11,1,1,11,3,3,0,2,0,1
IN,16,H,F,3,G,B,S,2,10,3,10,11,4,4,0,2,1,2
IL,32,H,other,3,E,A,C,3,6,11,7,9,2,2,0,2,1,2
FL,34,H,M,3,D,B,T,1,2,6,12,2,5,5,1,3,1,4
other,41,H,M,2,E,D,T,3,1,3,3,1,2,2,0,2,0,3
TX,13,H,M,3,F,B,S,1,9,12,5,8,3,4,1,3,1,1
NC,51,H,F,3,E,A,R,3,12,8,12,10,0,0,0,0,0,3
MI,44,H,F,3,G,B,R,2,12,5,12,9,0,0,0,0,0,2
CA,23,U,F,3,F,A,C,1,4,12,7,4,5,5,0,3,0,2
CA,4,U,F,2,F,A,U,2,9,9,9,9,4,4,0,3,1,1
WA,17,H,M,3,E,A,S,2,11,12,12,1,4,4,1,2,0,4
MO,20,U,F,2,G,A,S,2,4,9,3,4,4,4,0,3,0,4
IL,21,U,M,3,E,A,S,3,1,6,12,1,3,3,0,2,1,2
CA,1,U,F,3,E,B,U,1,1,7,4,1,6,6,0,3,0,1
CA,1,H,F,2,E,A,U,1,3,8,6,1,5,5,0,1,0,1
other,27,H,F,3,F,C,C,2,11,2,12,1,3,3,0,2,0,3
IL,7,U,F,2,F,A,U,2,2,2,2,2,5,5,0,3,0,1
CA,10,H,M,3,F,A,U,4,12,12,12,12,5,5,0,2,0,1
IL,27,H,F,3,D,A,C,2,12,4,1,1,8,7,1,3,0,4
FL,10,H,F,3,G,A,U,4,1,12,11,1,3,3,1,0,0,2
other,51,H,M,1,G,D,R,3,5,2,2,1,1,1,0,2,1,2
other,51,U,M,3,D,D,R,3,11,10,1,1,2,1,0,2,1,4
FL,29,H,F,3,F,B,C,2,1,1,1,1,5,5,1,2,1,1
IL,30,H,F,1,F,B,C,3,11,12,8,2,3,3,0,2,1,1
MI,16,H,F,3,F,A,S,2,10,11,11,2,5,3,1,3,1,1
MO,49,H,F,3,F,A,R,2,5,9,11,8,3,2,0,2,1,1
other,43,H,F,3,F,D,R,2,9,12,12,1,2,1,0,1,0,1
other,41,H,M,3,G,D,T,3,2,9,9,2,3,2,0,2,1,1
FL,37,H,F,3,F,B,T,2,11,11,3,11,3,3,0,2,0,2
other,23,H,F,3,F,A,C,1,12,11,5,12,7,5,3,2,1,1
NC,24,H,M,3,F,B,C,1,2,5,11,2,5,6,0,3,1,1
TX,44,H,M,3,F,A,R,2,9,10,12,9,3,2,0,3,1,2
other,39,U,M,3,F,C,T,2,11,7,1,9,3,4,1,2,1,3
other,51,H,F,3,F,D,R,3,2,5,3,2,1,1,0,2,0,2
FL,28,H,M,3,F,C,C,2,7,7,7,7,3,3,0,2,1,1
other,27,H,F,3,F,B,C,2,5,6,12,9,3,3,0,2,1,2
IL,11,H,M,3,F,A,S,1,9,10,2,9,6,6,1,3,1,1
CA,11,H,F,3,F,A,S,1,5,2,12,10,5,5,0,2,0,1
MI,21,H,M,3,F,B,S,3,1,1,1,1,3,3,1,2,1,2
CA,17,H,F,3,E,A,S,2,6,12,12,1,6,6,0,2,0,2
other,10,U,F,2,F,A,U,4,1,1,1,1,6,6,0,2,0,1
other,16,H,M,3,F,B,S,2,1,11,11,1,2,2,0,2,0,2
other,38,H,M,3,F,B,T,2,1,3,3,1,4,4,0,2,0,1
FL,16,H,M,3,E,C,S,2,10,10,12,3,6,6,1,3,1,3
MI,5,H,F,3,F,A,U,2,2,9,12,2,5,5,1,3,1,2
other,49,U,F,3,F,D,R,2,2,9,9,10,1,1,0,2,1,1
NC,27,H,M,3,F,B,C,2,3,12,12,3,3,3,0,2,0,1
CA,1,H,F,3,G,A,U,1,10,6,9,10,8,8,0,4,0,2
CA,27,H,M,3,F,B,C,2,2,2,2,2,4,4,0,2,1,4
other,21,U,F,3,F,B,S,3,4,9,9,4,3,3,0,2,1,2
FL,36,H,M,3,F,A,T,2,12,12,12,12,3,2,0,1,1,1
other,11,H,F,3,F,B,S,1,9,9,9,8,6,6,0,4,1,1
TX,12,H,F,3,G,C,S,1,5,3,3,7,3,3,0,2,0,1
FL,8,H,M,3,E,A,U,3,12,1,11,2,5,5,1,2,0,1
NC,22,U,M,1,F,B,C,1,3,7,7,3,3,3,0,2,1,1
CA,20,U,M,2,G,A,S,2,1,12,12,1,6,5,0,2,0,2
CA,40,H,M,3,E,A,R,2,6,2,2,10,8,8,0,4,0,3
other,41,U,M,2,F,D,T,3,1,1,1,1,2,2,0,2,1,2
other,40,H,F,3,F,B,R,2,6,6,6,1,3,2,0,3,0,1
GA,40,H,M,3,F,A,T,2,2,2,2,2,4,3,0,2,1,1
other,44,H,M,3,F,B,R,2,6,6,6,6,4,2,0,2,1,1
TX,48,H,M,2,F,D,R,2,10,9,9,10,2,2,0,2,0,1
CA,40,H,M,3,G,A,T,2,4,4,4,2,7,6,0,2,1,1
IN,44,H,F,3,F,B,R,2,1,10,4,1,4,3,0,3,1,1
other,37,H,F,1,E,C,T,2,4,12,12,4,3,3,0,2,1,3
GA,11,H,other,3,G,B,S,1,9,11,4,9,5,5,0,2,1,1
other,35,H,F,3,E,B,T,1,3,12,2,1,4,3,1,2,1,2
TX,1,U,M,1,F,A,U,1,10,7,7,10,6,6,0,4,1,1
other,34,H,F,3,F,A,T,1,1,4,4,10,5,4,0,3,0,1
WI,49,H,M,2,F,C,R,2,2,2,2,2,3,2,0,2,0,1
TX,14,H,M,2,F,A,S,1,11,2,4,11,10,10,1,4,1,1
FL,53,U,M,2,E,D,R,3,7,1,1,7,2,2,0,2,0,1
CA,15,H,F,2,G,A,S,1,1,12,12,1,7,8,1,2,0,1
other,47,H,M,2,E,D,R,2,4,4,3,4,1,1,0,2,0,3
TX,30,U,M,3,F,B,C,3,2,2,2,2,2,2,0,2,1,1
other,40,H,F,3,F,B,T,2,8,2,2,8,6,6,0,3,0,1
FL,27,H,F,3,G,B,C,2,3,9,3,9,2,3,0,2,1,2
CA,2,H,F,2,F,A,U,1,5,12,3,9,8,7,0,2,1,1
TX,35,H,F,3,D,A,T,1,4,11,3,2,8,6,0,4,1,4
MO,9,H,M,3,G,B,U,3,6,3,3,4,3,3,0,3,0,3
other,11,H,F,3,F,B,S,1,9,12,12,1,6,7,0,2,0,3
NC,41,U,F,3,F,C,T,3,3,12,12,2,2,2,0,2,1,1
other,51,U,M,3,F,D,R,3,12,11,11,1,2,0,0,2,1,1
TX,25,H,F,3,G,B,C,2,10,10,10,10,3,3,1,1,0,1
other,52,H,M,2,F,C,R,3,7,3,3,7,3,3,0,2,0,2
other,40,H,M,3,G,C,R,2,10,10,10,10,3,2,0,2,0,1
FL,41,H,F,3,G,B,T,3,4,5,2,12,3,3,0,1,0,2
FL,45,H,F,3,F,C,R,2,11,4,4,10,4,4,1,2,1,1
IN,43,H,M,3,F,B,R,2,12,12,12,12,2,1,0,2,1,1
IL,16,U,M,2,F,A,S,2,9,1,1,9,5,5,1,2,0,2
other,44,U,F,2,G,D,R,2,6,6,6,6,2,2,0,2,0,1
WI,49,H,F,3,F,C,R,2,2,4,3,2,3,3,0,4,0,1
CA,30,H,M,3,E,C,C,3,4,12,12,10,3,3,0,2,1,4
NC,15,H,F,3,F,B,S,1,10,12,12,10,4,4,0,3,1,1
CA,18,H,M,3,F,A,S,2,9,9,9,9,7,6,0,2,0,1
other,21,H,M,2,G,B,S,3,10,10,10,10,5,4,1,2,1,1
IL,2,H,F,3,E,A,U,1,1,2,10,8,7,7,2,3,1,2
other,30,U,F,3,F,B,C,3,1,6,6,1,3,2,0,1,0,1
other,23,U,F,3,E,B,C,1,11,6,9,1,6,4,0,2,1,2
TX,15,H,F,3,E,A,S,1,12,12,1,12,3,3,0,0,1,4
CA,42,H,M,3,G,C,R,1,10,8,1,10,4,2,1,4,0,1
CA,42,H,F,3,F,A,R,1,10,3,5,10,8,6,1,2,0,2
CA,35,U,M,2,E,A,T,1,3,11,6,1,7,6,0,3,0,1
CA,2,U,M,1,G,A,U,1,12,10,12,6,8,8,0,3,0,3
other,17,H,other,3,G,C,S,2,3,3,3,3,4,4,0,2,1,1
MI,46,U,M,1,F,A,R,2,10,10,10,10,4,4,1,3,0,1
MO,40,H,F,3,D,C,T,2,10,11,12,9,3,3,1,2,0,3
FL,30,H,F,3,F,C,C,3,10,12,5,10,4,4,0,2,1,1
other,27,H,M,3,F,B,C,2,7,2,2,7,4,4,1,3,1,3
other,20,H,F,3,F,A,S,2,6,6,6,6,5,5,0,4,1,1
other,40,H,F,2,F,C,R,2,4,3,3,4,4,3,0,2,1,1
IL,24,U,M,1,F,A,C,1,9,10,12,9,4,3,0,3,1,2
other,51,U,F,2,F,D,R,3,9,9,9,9,1,1,0,2,0,1
CA,2,H,F,2,F,A,U,1,11,11,6,11,11,10,0,3,0,1
MI,51,H,M,3,E,D,R,3,10,9,3,2,2,2,1,2,1,4
other,50,H,F,3,F,D,R,3,9,12,12,9,1,1,0,2,0,2
WI,39,U,F,2,F,C,T,2,2,2,2,2,2,2,0,2,0,1
IN,15,U,F,3,G,B,S,1,4,2,9,5,4,4,0,3,1,1
GA,44,H,F,3,F,B,R,2,2,1,1,2,2,2,0,2,0,1
CA,6,H,M,3,G,A,U,2,9,11,11,9,7,7,0,2,1,1
CA,27,H,F,2,G,B,C,2,1,1,1,3,5,6,0,0,0,2
WI,45,H,F,3,F,D,R,2,10,8,8,10,2,2,0,2,0,1
CA,25,U,F,2,F,A,C,2,1,11,4,1,7,7,0,5,0,1
FL,39,H,M,2,F,B,T,2,10,10,10,10,4,4,1,5,0,1
other,47,H,F,3,F,B,R,2,6,6,6,6,2,1,0,2,1,1
IN,30,U,other,3,F,C,C,3,9,12,4,9,2,2,0,2,1,1
FL,24,H,M,3,G,B,C,1,1,1,1,1,7,6,0,2,1,1
IN,43,U,F,3,F,D,R,2,1,1,1,1,2,1,0,2,1,1
other,6,H,M,3,F,D,U,2,9,12,3,9,2,2,0,2,1,4
TX,39,H,F,3,G,B,T,2,1,1,1,1,3,2,0,2,1,1
CA,1,H,F,3,F,A,U,1,2,2,2,2,6,6,0,0,0,1
other,11,H,M,3,F,B,S,1,10,9,9,9,4,4,0,2,0,1
IN,35,H,M,3,F,B,T,1,4,12,12,1,5,5,0,3,1,1
IL,24,H,F,2,F,C,C,1,4,1,1,4,4,4,0,3,1,1
MI,51,U,M,3,G,C,R,3,1,12,12,10,3,3,1,2,1,2
NC,42,H,F,3,F,B,R,1,11,11,11,11,3,2,0,2,0,1
IL,5,H,F,3,F,A,U,2,1,12,12,12,4,4,0,3,1,1
CA,2,H,F,2,F,A,U,1,11,7,9,9,10,8,0,2,0,3
CA,21,H,M,3,F,A,S,3,10,10,10,10,6,6,0,0,0,1
other,40,U,M,1,F,C,R,2,11,3,3,11,6,3,0,3,1,1
IL,43,U,F,1,E,C,R,2,3,9,1,3,2,2,0,2,1,2
IL,22,U,F,1,E,C,C,1,1,6,2,10,3,4,0,3,0,1
other,10,U,F,3,G,B,U,4,12,3,3,12,2,1,0,2,1,2
CA,2,H,F,3,E,A,U,1,1,1,1,1,12,10,0,3,0,3
FL,23,H,F,3,E,A,C,1,6,10,5,2,6,7,2,4,1,1
MI,26,H,F,3,E,A,C,2,5,12,2,1,6,6,1,4,1,3
other,27,H,F,2,F,B,C,2,3,2,1,3,7,6,0,2,1,2
other,43,H,M,3,F,D,R,2,4,3,3,11,2,1,0,2,1,4
IL,30,H,F,3,F,C,C,3,1,1,1,1,3,3,0,2,0,1
CA,18,H,M,2,F,B,S,2,2,2,2,2,5,5,0,2,0,1
GA,43,U,M,2,E,D,R,2,9,1,6,10,2,1,0,2,1,2
CA,5,H,F,3,F,A,U,2,11,9,9,1,5,5,0,2,0,1
TX,36,H,F,2,F,C,T,2,9,9,9,9,3,2,0,2,0,1
WA,18,U,M,3,F,A,S,2,12,12,6,11,4,4,0,2,1,1
other,24,H,M,3,D,B,C,1,4,5,8,1,5,5,0,3,0,3
other,27,U,M,1,G,B,C,2,12,11,12,6,4,4,0,2,1,1
other,49,U,other,3,F,B,R,2,11,1,1,9,2,1,0,2,0,1
other,41,H,M,3,F,D,T,3,6,10,3,10,1,1,0,2,0,2
TX,2,H,F,1,E,B,U,1,4,11,6,1,5,4,0,2,1,1
IL,16,H,F,3,F,A,S,2,10,10,10,10,3,3,0,3,1,1
other,35,H,F,3,D,B,T,1,2,1,2,12,5,5,0,2,1,4
other,8,H,F,3,F,B,U,3,10,12,12,10,3,3,0,2,1,2
other,31,H,M,3,E,C,C,3,11,9,10,9,2,2,0,2,0,1
WI,27,H,M,3,E,C,C,2,9,10,10,6,4,4,0,3,1,2
other,22,H,F,3,F,B,C,1,1,1,11,1,4,4,0,3,0,1
TX,34,H,F,3,E,C,T,1,12,3,1,8,2,2,0,2,1,4
CA,10,H,F,3,G,A,U,4,10,7,7,10,4,4,0,2,0,1
MI,40,H,F,3,F,B,T,2,4,7,7,1,2,2,0,3,0,1
CA,19,H,M,3,G,A,S,2,2,10,4,2,5,6,0,2,0,1
other,38,U,F,2,F,B,T,2,3,1,3,1,3,3,0,2,0,2
TX,45,U,M,2,E,D,R,2,9,6,12,5,2,1,0,2,0,2
IL,35,H,F,3,F,A,T,1,8,3,8,3,4,4,0,3,1,2
other,46,U,F,3,E,D,R,2,10,10,2,12,3,2,0,2,1,2
TX,53,U,F,2,E,D,R,3,4,11,3,8,1,1,0,2,1,2
TX,24,H,F,3,G,A,C,1,11,12,12,7,4,4,0,4,1,2
IL,14,H,F,3,G,A,S,1,6,11,11,6,10,9,1,4,0,2
WA,35,H,F,3,F,B,T,1,10,6,6,10,4,3,0,2,1,1
TX,14,H,F,3,E,A,S,1,12,12,12,2,9,9,1,4,1,2
WI,16,U,F,2,F,B,S,2,9,9,9,9,3,3,0,2,0,1
MO,53,U,F,3,E,D,R,3,11,6,3,9,2,2,0,2,0,4
MI,10,H,F,2,F,A,U,4,2,6,3,2,4,4,5,2,0,4
MI,10,H,F,3,E,A,U,4,10,11,2,10,5,3,0,3,0,2
TX,40,H,F,3,E,B,T,2,4,11,11,11,5,4,0,3,0,4
CA,13,H,F,2,G,A,S,1,9,9,9,9,12,12,1,3,0,1
CA,12,H,F,3,D,B,S,1,11,6,2,9,5,6,0,2,1,4
CA,19,H,F,2,E,A,S,2,11,9,11,9,8,8,0,2,0,3
other,39,U,F,2,D,B,T,2,9,5,12,1,3,2,0,3,0,4
other,8,H,M,3,G,B,U,3,9,9,9,9,3,3,0,2,0,1
WA,27,H,F,2,F,C,C,2,1,6,2,1,4,4,0,2,0,2
other,43,H,M,3,F,D,R,2,1,3,3,1,1,1,0,2,1,1
other,30,H,F,3,D,B,C,3,11,6,1,1,4,4,1,2,1,4
GA,40,H,F,3,F,A,T,2,3,1,3,2,5,4,0,2,1,2
CA,20,H,F,2,F,A,S,2,10,5,12,3,4,5,0,2,0,3
WA,15,H,F,2,F,A,S,1,1,1,3,1,5,6,0,4,0,1
other,12,H,F,2,D,B,S,1,5,12,3,10,6,7,0,2,0,4
WI,40,U,F,3,G,C,T,2,1,12,1,4,3,3,0,3,1,1
CA,5,H,F,3,F,A,U,2,7,7,7,7,6,6,0,2,0,1
other,27,H,F,3,G,B,C,2,3,1,1,8,3,3,0,0,0,2
other,40,H,M,3,F,A,T,2,11,6,3,9,0,0,0,0,1,4
other,51,H,M,2,F,B,R,3,1,10,10,10,3,3,0,2,1,2
CA,17,H,M,3,D,A,S,2,12,10,2,9,6,6,0,2,0,4
other,27,H,F,3,F,C,C,2,1,2,2,1,3,3,0,3,0,1
